faas-netes - Community Edition (CE)
Warning: Commercial use limited to 60 days.
Learn more: https://github.com/openfaas/faas/blob/master/EULA.md

Version: dev Commit: 
W0531 05:37:57.030052       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2025/05/31 05:37:57 HTTP Read Timeout: 1m5s
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003132 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002593 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002845 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001358 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002784 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003047 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003369 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002843 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002928 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.003284 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001882 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002330 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002842 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002058 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002512 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.001657 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.002002 seconds
2025/05/31 05:40:27 nodeinfo.openfaas-fn took 0.007309 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002712 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002978 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002650 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001868 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002395 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002526 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001763 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001653 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001678 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001860 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002976 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003177 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002294 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002612 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002665 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001779 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002160 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002224 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001495 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001792 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003302 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003707 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003341 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003598 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002683 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.004482 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002162 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001418 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001392 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001339 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003853 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003323 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002738 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002386 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001915 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001771 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001350 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001516 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001677 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001571 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003141 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003410 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002528 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002946 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001544 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001419 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001671 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001735 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002042 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.005866 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003144 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003876 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003129 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003313 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.006946 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002189 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002303 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002641 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001843 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002182 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003526 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003852 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.004415 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002955 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003251 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002163 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002206 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002582 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002838 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.012933 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002823 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003389 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.003643 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002215 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002908 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001403 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.002116 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001469 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001761 seconds
2025/05/31 05:40:28 nodeinfo.openfaas-fn took 0.001236 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.003056 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002738 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001964 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002187 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002600 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001468 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001375 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001452 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001356 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001272 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002266 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001860 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002370 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001584 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001749 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002331 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001541 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001525 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001758 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002321 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002284 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002596 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002267 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001461 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001393 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001396 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001355 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001647 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001866 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002041 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002871 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.003442 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002034 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001490 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001662 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001287 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001417 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001243 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001336 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001259 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002780 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.004045 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.003427 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.003912 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002128 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002445 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001294 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001364 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001422 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001203 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002767 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.003320 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002278 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002628 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002840 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001277 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001705 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.001971 seconds
2025/05/31 05:40:29 nodeinfo.openfaas-fn took 0.002272 seconds
